Pathway Accession	Mapped Ids	Pathway Name	Componenets	Subfamilies	Associated Sequence
P00027	HUMAN|HGNC=4543|UniProtKB=P32298,HUMAN|HGNC=9399|UniProtKB=Q05655,HUMAN|HGNC=4382|UniProtKB=O95837,HUMAN|HGNC=4407|UniProtKB=P50150,HUMAN|HGNC=8156|UniProtKB=P35372,HUMAN|HGNC=9059|UniProtKB=Q15147,HUMAN|HGNC=8154|UniProtKB=P41145,HUMAN|HGNC=9993|UniProtKB=O94810,HUMAN|HGNC=4597|UniProtKB=P41594,HUMAN|HGNC=667|UniProtKB=P61586,HUMAN|HGNC=10000|UniProtKB=P49798,HUMAN|HGNC=10001|UniProtKB=O15539,HUMAN|HGNC=14600|UniProtKB=O76081,HUMAN|HGNC=9855|UniProtKB=P62834,HUMAN|HGNC=25425|UniProtKB=Q5VVW2,HUMAN|HGNC=4595|UniProtKB=Q14832,HUMAN|HGNC=8155|UniProtKB=P41146,HUMAN|HGNC=2091|UniProtKB=P09497,HUMAN|HGNC=9999|UniProtKB=P49796,HUMAN|HGNC=3023|UniProtKB=P14416,HUMAN|HGNC=2090|UniProtKB=P09496,HUMAN|HGNC=1392|UniProtKB=Q15878,HUMAN|HGNC=9402|UniProtKB=P05129,HUMAN|HGNC=11330|UniProtKB=P30872,HUMAN|HGNC=3024|UniProtKB=P35462,HUMAN|HGNC=1950|UniProtKB=P11229,HUMAN|HGNC=1030|UniProtKB=P30411,HUMAN|HGNC=4412|UniProtKB=O14610,HUMAN|HGNC=9991|UniProtKB=Q08116,HUMAN|HGNC=4598|UniProtKB=O15303,HUMAN|HGNC=6181|UniProtKB=Q14571,HUMAN|HGNC=4410|UniProtKB=O60262,HUMAN|HGNC=4545|UniProtKB=P43250,HUMAN|HGNC=669|UniProtKB=P08134,HUMAN|HGNC=10002|UniProtKB=P49758,HUMAN|HGNC=9395|UniProtKB=P05771,HUMAN|HGNC=9403|UniProtKB=P24723,HUMAN|HGNC=1951|UniProtKB=P08172,HUMAN|HGNC=4411|UniProtKB=P63211,HUMAN|HGNC=9393|UniProtKB=P17252,HUMAN|HGNC=3025|UniProtKB=P21917,HUMAN|HGNC=1388|UniProtKB=O00555,HUMAN|HGNC=4408|UniProtKB=P63218,HUMAN|HGNC=14261|UniProtKB=Q9NS28,HUMAN|HGNC=9858|UniProtKB=P47736,HUMAN|HGNC=19663|UniProtKB=Q9UBI6,HUMAN|HGNC=9404|UniProtKB=P41743,HUMAN|HGNC=9401|UniProtKB=Q02156,HUMAN|HGNC=4402|UniProtKB=P50151,HUMAN|HGNC=681|UniProtKB=Q92888,HUMAN|HGNC=15917|UniProtKB=Q9NQ66,HUMAN|HGNC=4405|UniProtKB=P63215,HUMAN|HGNC=1952|UniProtKB=P20309,HUMAN|HGNC=9056|UniProtKB=Q01970,HUMAN|HGNC=20731|UniProtKB=Q9HAV0,HUMAN|HGNC=1029|UniProtKB=P46663,HUMAN|HGNC=268|UniProtKB=P33765,HUMAN|HGNC=19664|UniProtKB=Q9UK08,HUMAN|HGNC=29501|UniProtKB=P81274,HUMAN|HGNC=9994|UniProtKB=O14924,HUMAN|HGNC=17031|UniProtKB=Q8WTQ7,HUMAN|HGNC=4593|UniProtKB=Q13255,HUMAN|HGNC=9878|UniProtKB=O95267,HUMAN|HGNC=11332|UniProtKB=P32745,HUMAN|HGNC=1389|UniProtKB=Q00975,HUMAN|HGNC=4421|UniProtKB=P30968,HUMAN|HGNC=10003|UniProtKB=P49802,HUMAN|HGNC=17858|UniProtKB=Q86YR5,HUMAN|HGNC=4389|UniProtKB=P09471,HUMAN|HGNC=9996|UniProtKB=O43566,HUMAN|HGNC=9995|UniProtKB=O14921,HUMAN|HGNC=4600|UniProtKB=O00222,HUMAN|HGNC=16810|UniProtKB=P57771,HUMAN|HGNC=13735|UniProtKB=P49795,HUMAN|HGNC=4398|UniProtKB=P62879,HUMAN|HGNC=9857|UniProtKB=P61224,HUMAN|HGNC=290|UniProtKB=P35626,HUMAN|HGNC=11331|UniProtKB=P30874,HUMAN|HGNC=4404|UniProtKB=P59768,HUMAN|HGNC=4390|UniProtKB=P50148,HUMAN|HGNC=9997|UniProtKB=O15492,HUMAN|HGNC=6180|UniProtKB=Q14643,HUMAN|HGNC=8153|UniProtKB=P41143,HUMAN|HGNC=6182|UniProtKB=Q14573,HUMAN|HGNC=289|UniProtKB=P25098,HUMAN|HGNC=21156|UniProtKB=Q9BYE7,HUMAN|HGNC=2092|UniProtKB=Q00610,HUMAN|HGNC=4544|UniProtKB=P34947,HUMAN|HGNC=14545|UniProtKB=Q8IV61,HUMAN|HGNC=4396|UniProtKB=P62873,HUMAN|HGNC=9055|UniProtKB=Q00722	Heterotrimeric G-protein signaling pathway-Gq alpha and Go alpha mediated pathway	21	149	787
P04393	HUMAN|HGNC=30281|UniProtKB=Q9NZL6,HUMAN|HGNC=6407|UniProtKB=P01116,HUMAN|HGNC=6888|UniProtKB=Q16644,HUMAN|HGNC=8816|UniProtKB=O15530,HUMAN|HGNC=6872|UniProtKB=P53779,HUMAN|HGNC=11362|UniProtKB=P42224,HUMAN|HGNC=6843|UniProtKB=P46734,HUMAN|HGNC=11805|UniProtKB=Q13009,HUMAN|HGNC=667|UniProtKB=P61586,HUMAN|HGNC=6846|UniProtKB=P52564,HUMAN|HGNC=6876|UniProtKB=Q16539,HUMAN|HGNC=10430|UniProtKB=Q15418,HUMAN|HGNC=10432|UniProtKB=P51812,HUMAN|HGNC=3321|UniProtKB=P19419,HUMAN|HGNC=8972|UniProtKB=O00750,HUMAN|HGNC=9839|UniProtKB=P11233,HUMAN|HGNC=8590|UniProtKB=Q13153,HUMAN|HGNC=6848|UniProtKB=Q13233,HUMAN|HGNC=11291|UniProtKB=P11831,HUMAN|HGNC=9840|UniProtKB=P11234,HUMAN|HGNC=9842|UniProtKB=Q12967,HUMAN|HGNC=7989|UniProtKB=P01111,HUMAN|HGNC=30467|UniProtKB=Q6ZT12,HUMAN|HGNC=9801|UniProtKB=P63000,HUMAN|HGNC=393|UniProtKB=Q9Y243,HUMAN|HGNC=16457|UniProtKB=P57077,HUMAN|HGNC=391|UniProtKB=P31749,HUMAN|HGNC=669|UniProtKB=P08134,HUMAN|HGNC=9829|UniProtKB=P04049,HUMAN|HGNC=8974|UniProtKB=Q8NEB9,HUMAN|HGNC=6847|UniProtKB=O14733,HUMAN|HGNC=4616|UniProtKB=P49840,HUMAN|HGNC=9802|UniProtKB=P15153,HUMAN|HGNC=11187|UniProtKB=Q07889,HUMAN|HGNC=668|UniProtKB=P62745,HUMAN|HGNC=6881|UniProtKB=P45983,HUMAN|HGNC=8976|UniProtKB=P42338,HUMAN|HGNC=17271|UniProtKB=P62070,HUMAN|HGNC=6887|UniProtKB=P49137,HUMAN|HGNC=5173|UniProtKB=P01112,HUMAN|HGNC=10435|UniProtKB=Q9UK32,HUMAN|HGNC=9769|UniProtKB=O15211,HUMAN|HGNC=6886|UniProtKB=P45984,HUMAN|HGNC=6840|UniProtKB=Q02750,HUMAN|HGNC=6877|UniProtKB=P27361,HUMAN|HGNC=10431|UniProtKB=Q15349,HUMAN|HGNC=6856|UniProtKB=Q9Y6R4,HUMAN|HGNC=24968|UniProtKB=Q96KP1,HUMAN|HGNC=6844|UniProtKB=P45985,HUMAN|HGNC=8591|UniProtKB=Q13177,HUMAN|HGNC=8978|UniProtKB=P48736,HUMAN|HGNC=12902|UniProtKB=P17014,HUMAN|HGNC=646|UniProtKB=P10398,HUMAN|HGNC=6842|UniProtKB=P36507,HUMAN|HGNC=4617|UniProtKB=P49841,HUMAN|HGNC=11364|UniProtKB=P40763,HUMAN|HGNC=9803|UniProtKB=P60763,HUMAN|HGNC=784|UniProtKB=P15336,HUMAN|HGNC=6204|UniProtKB=P05412,HUMAN|HGNC=6875|UniProtKB=O15264,HUMAN|HGNC=1097|UniProtKB=P15056,HUMAN|HGNC=8592|UniProtKB=O75914,HUMAN|HGNC=1736|UniProtKB=P60953,HUMAN|HGNC=3488|UniProtKB=P14921,HUMAN|HGNC=8975|UniProtKB=P42336,HUMAN|HGNC=6871|UniProtKB=P28482,HUMAN|HGNC=11188|UniProtKB=Q07890,HUMAN|HGNC=10840|UniProtKB=P29353,HUMAN|HGNC=6873|UniProtKB=Q15759,HUMAN|HGNC=8977|UniProtKB=O00329	Ras Pathway	39	118	647
P06214	HUMAN|HGNC=8747|UniProtKB=Q92824	GBB signaling pathway	17	12	12
P05913	HUMAN|HGNC=9391|UniProtKB=P13861,HUMAN|HGNC=8156|UniProtKB=P35372,HUMAN|HGNC=4384|UniProtKB=P63096,HUMAN|HGNC=9380|UniProtKB=P17612,HUMAN|HGNC=4387|UniProtKB=P08754,HUMAN|HGNC=9392|UniProtKB=P31323,HUMAN|HGNC=4385|UniProtKB=P04899,HUMAN|HGNC=9441|UniProtKB=P51817,HUMAN|HGNC=2345|UniProtKB=P16220,HUMAN|HGNC=2301|UniProtKB=O75976,HUMAN|HGNC=8820|UniProtKB=P01213,HUMAN|HGNC=8153|UniProtKB=P41143,HUMAN|HGNC=4392|UniProtKB=Q5JWF2,HUMAN|HGNC=238|UniProtKB=P51828,HUMAN|HGNC=233|UniProtKB=Q08462,HUMAN|HGNC=9381|UniProtKB=P22694,HUMAN|HGNC=4389|UniProtKB=P09471	Enkephalin release	10	36	169
P02769	HUMAN|HGNC=7413|UniProtKB=Q13126,HUMAN|HGNC=12805|UniProtKB=P47989,HUMAN|HGNC=8021|UniProtKB=P21589,HUMAN|HGNC=7892|UniProtKB=P00491,HUMAN|HGNC=4212|UniProtKB=Q9Y2T3,HUMAN|HGNC=470|UniProtKB=Q01432	Purine metabolism	5	11	38
P06216	HUMAN|HGNC=8747|UniProtKB=Q92824	SCW signaling pathway	18	13	13
P04396	HUMAN|HGNC=33480|UniProtKB=Q4G0S4,HUMAN|HGNC=4187|UniProtKB=P02774,HUMAN|HGNC=2606|UniProtKB=O15528,HUMAN|HGNC=9208|UniProtKB=P16435,HUMAN|HGNC=3642|UniProtKB=P22570,HUMAN|HGNC=10477|UniProtKB=P19793,HUMAN|HGNC=26125|UniProtKB=Q8TB22,HUMAN|HGNC=29838|UniProtKB=Q9UHB4,HUMAN|HGNC=3638|UniProtKB=P10109,HUMAN|HGNC=12679|UniProtKB=P11473,HUMAN|HGNC=2602|UniProtKB=Q07973,HUMAN|HGNC=2263|UniProtKB=Q7KZN9,HUMAN|HGNC=30546|UniProtKB=Q6P4F2	Vitamin D metabolism and pathway	11	18	81
P00003	HUMAN|HGNC=9399|UniProtKB=Q05655,HUMAN|HGNC=20717|UniProtKB=Q6P597,HUMAN|HGNC=6880|UniProtKB=Q13164,HUMAN|HGNC=581|UniProtKB=O00213,HUMAN|HGNC=17999|UniProtKB=Q6P5Z2,HUMAN|HGNC=1401|UniProtKB=Q02641,HUMAN|HGNC=6872|UniProtKB=P53779,HUMAN|HGNC=6876|UniProtKB=Q16539,HUMAN|HGNC=620|UniProtKB=P05067,HUMAN|HGNC=8747|UniProtKB=Q92824,HUMAN|HGNC=933|UniProtKB=P56817,HUMAN|HGNC=9402|UniProtKB=P05129,HUMAN|HGNC=1950|UniProtKB=P11229,HUMAN|HGNC=9508|UniProtKB=P49768,HUMAN|HGNC=9406|UniProtKB=Q16513,HUMAN|HGNC=8568|UniProtKB=P09958,HUMAN|HGNC=9395|UniProtKB=P05771,HUMAN|HGNC=188|UniProtKB=O14672,HUMAN|HGNC=6878|UniProtKB=P31152,HUMAN|HGNC=9403|UniProtKB=P24723,HUMAN|HGNC=1951|UniProtKB=P08172,HUMAN|HGNC=20716|UniProtKB=Q9H0B6,HUMAN|HGNC=9393|UniProtKB=P17252,HUMAN|HGNC=6881|UniProtKB=P45983,HUMAN|HGNC=1390|UniProtKB=Q13936,HUMAN|HGNC=6879|UniProtKB=Q16659,HUMAN|HGNC=579|UniProtKB=Q99767,HUMAN|HGNC=9404|UniProtKB=P41743,HUMAN|HGNC=9401|UniProtKB=Q02156,HUMAN|HGNC=1952|UniProtKB=P20309,HUMAN|HGNC=17440|UniProtKB=Q8NHY2,HUMAN|HGNC=580|UniProtKB=O96018,HUMAN|HGNC=6886|UniProtKB=P45984,HUMAN|HGNC=6877|UniProtKB=P27361,HUMAN|HGNC=216|UniProtKB=Q13443,HUMAN|HGNC=9405|UniProtKB=Q16512,HUMAN|HGNC=20820|UniProtKB=Q8NHX9,HUMAN|HGNC=12902|UniProtKB=P17014,HUMAN|HGNC=195|UniProtKB=P78536,HUMAN|HGNC=1960|UniProtKB=P36544,HUMAN|HGNC=29509|UniProtKB=Q96BI3,HUMAN|HGNC=1397|UniProtKB=Q13698,HUMAN|HGNC=5275|UniProtKB=Q92993,HUMAN|HGNC=6875|UniProtKB=O15264,HUMAN|HGNC=6871|UniProtKB=P28482,HUMAN|HGNC=578|UniProtKB=Q02410,HUMAN|HGNC=21624|UniProtKB=Q9NSK0,HUMAN|HGNC=17091|UniProtKB=Q92542,HUMAN|HGNC=6873|UniProtKB=Q15759,HUMAN|HGNC=1402|UniProtKB=Q08289	Alzheimer disease-amyloid secretase pathway	31	91	464
P05916	HUMAN|HGNC=4384|UniProtKB=P63096,HUMAN|HGNC=11133|UniProtKB=O95721,HUMAN|HGNC=8154|UniProtKB=P41145,HUMAN|HGNC=12644|UniProtKB=Q15836,HUMAN|HGNC=11131|UniProtKB=O00161,HUMAN|HGNC=4387|UniProtKB=P08754,HUMAN|HGNC=4385|UniProtKB=P04899,HUMAN|HGNC=11132|UniProtKB=P60880,HUMAN|HGNC=12642|UniProtKB=P23763,HUMAN|HGNC=8820|UniProtKB=P01213,HUMAN|HGNC=12643|UniProtKB=P63027,HUMAN|HGNC=12647|UniProtKB=Q9BV40,HUMAN|HGNC=238|UniProtKB=P51828,HUMAN|HGNC=894|UniProtKB=P01185,HUMAN|HGNC=233|UniProtKB=Q08462,HUMAN|HGNC=11438|UniProtKB=Q13277,HUMAN|HGNC=4389|UniProtKB=P09471	Opioid prodynorphin pathway	12	29	162
P00054	HUMAN|HGNC=6843|UniProtKB=P46734,HUMAN|HGNC=6876|UniProtKB=Q16539,HUMAN|HGNC=7799|UniProtKB=O00221,HUMAN|HGNC=3321|UniProtKB=P19419,HUMAN|HGNC=15632|UniProtKB=Q9NR97,HUMAN|HGNC=11562|UniProtKB=Q92844,HUMAN|HGNC=15631|UniProtKB=Q9NYK1,HUMAN|HGNC=6848|UniProtKB=Q13233,HUMAN|HGNC=7795|UniProtKB=Q00653,HUMAN|HGNC=11584|UniProtKB=Q9UHD2,HUMAN|HGNC=11849|UniProtKB=O15455,HUMAN|HGNC=11896|UniProtKB=P21580,HUMAN|HGNC=11848|UniProtKB=O60603,HUMAN|HGNC=16711|UniProtKB=Q9Y2C9,HUMAN|HGNC=6860|UniProtKB=P41279,HUMAN|HGNC=18157|UniProtKB=Q15750,HUMAN|HGNC=18348|UniProtKB=Q8IUC6,HUMAN|HGNC=7794|UniProtKB=P19838,HUMAN|HGNC=5434|UniProtKB=P01574,HUMAN|HGNC=14552|UniProtKB=Q14164,HUMAN|HGNC=6881|UniProtKB=P45983,HUMAN|HGNC=1628|UniProtKB=P08571,HUMAN|HGNC=12494|UniProtKB=Q13404,HUMAN|HGNC=17020|UniProtKB=Q9Y616,HUMAN|HGNC=29548|UniProtKB=Q9BQ95,HUMAN|HGNC=6886|UniProtKB=P45984,HUMAN|HGNC=6840|UniProtKB=Q02750,HUMAN|HGNC=6877|UniProtKB=P27361,HUMAN|HGNC=15634|UniProtKB=Q9BXR5,HUMAN|HGNC=12902|UniProtKB=P17014,HUMAN|HGNC=11850|UniProtKB=O00206,HUMAN|HGNC=6842|UniProtKB=P36507,HUMAN|HGNC=17967|UniProtKB=Q9NWZ3,HUMAN|HGNC=9605|UniProtKB=P35354,HUMAN|HGNC=9955|UniProtKB=Q04206,HUMAN|HGNC=7797|UniProtKB=P25963,HUMAN|HGNC=21354|UniProtKB=Q86XR7,HUMAN|HGNC=9954|UniProtKB=Q04864,HUMAN|HGNC=7562|UniProtKB=Q99836,HUMAN|HGNC=6859|UniProtKB=O43318,HUMAN|HGNC=6112|UniProtKB=P51617,HUMAN|HGNC=31710|UniProtKB=Q5JXB2,HUMAN|HGNC=6204|UniProtKB=P05412,HUMAN|HGNC=12492|UniProtKB=P61088,HUMAN|HGNC=6871|UniProtKB=P28482,HUMAN|HGNC=16476|UniProtKB=Q9H0E2,HUMAN|HGNC=5960|UniProtKB=O14920,HUMAN|HGNC=17192|UniProtKB=P58753,HUMAN|HGNC=1974|UniProtKB=O15111,HUMAN|HGNC=5986|UniProtKB=Q14116,HUMAN|HGNC=12036|UniProtKB=Q9Y4K3	Toll receptor signaling pathway	46	84	318
P05914	HUMAN|HGNC=3771|UniProtKB=P31513,HUMAN|HGNC=12531|UniProtKB=Q9HAW8	Nicotine degradation	6	6	17
P06213	HUMAN|HGNC=8747|UniProtKB=Q92824	DPP signaling pathway	19	14	14
P02746	HUMAN|HGNC=4982|UniProtKB=P08397,HUMAN|HGNC=3647|UniProtKB=P22830,HUMAN|HGNC=3418|UniProtKB=P07814,HUMAN|HGNC=2321|UniProtKB=P36551,HUMAN|HGNC=12592|UniProtKB=P10746,HUMAN|HGNC=395|UniProtKB=P13716,HUMAN|HGNC=2260|UniProtKB=Q12887,HUMAN|HGNC=16083|UniProtKB=Q9NX52,HUMAN|HGNC=9751|UniProtKB=P47897,HUMAN|HGNC=12379|UniProtKB=Q15631,HUMAN|HGNC=29419|UniProtKB=Q5JPH6,HUMAN|HGNC=16502|UniProtKB=P58872,HUMAN|HGNC=8808|UniProtKB=P11177	Heme biosynthesis	15	43	245
P00056	HUMAN|HGNC=9036|UniProtKB=P0C869,HUMAN|HGNC=9399|UniProtKB=Q05655,HUMAN|HGNC=29869|UniProtKB=P98077,HUMAN|HGNC=6407|UniProtKB=P01116,HUMAN|HGNC=6888|UniProtKB=Q16644,HUMAN|HGNC=6876|UniProtKB=Q16539,HUMAN|HGNC=8972|UniProtKB=O00750,HUMAN|HGNC=17293|UniProtKB=Q9BZL6,HUMAN|HGNC=9402|UniProtKB=P05129,HUMAN|HGNC=8971|UniProtKB=O00443,HUMAN|HGNC=7989|UniProtKB=P01111,HUMAN|HGNC=9801|UniProtKB=P63000,HUMAN|HGNC=391|UniProtKB=P31749,HUMAN|HGNC=8981|UniProtKB=Q92569,HUMAN|HGNC=9395|UniProtKB=P05771,HUMAN|HGNC=1511|UniProtKB=P55211,HUMAN|HGNC=9829|UniProtKB=P04049,HUMAN|HGNC=9403|UniProtKB=P24723,HUMAN|HGNC=8974|UniProtKB=Q8NEB9,HUMAN|HGNC=9393|UniProtKB=P17252,HUMAN|HGNC=8980|UniProtKB=O00459,HUMAN|HGNC=9611|UniProtKB=Q05397,HUMAN|HGNC=9802|UniProtKB=P15153,HUMAN|HGNC=6307|UniProtKB=P35968,HUMAN|HGNC=8976|UniProtKB=P42338,HUMAN|HGNC=17271|UniProtKB=P62070,HUMAN|HGNC=6887|UniProtKB=P49137,HUMAN|HGNC=9404|UniProtKB=P41743,HUMAN|HGNC=9401|UniProtKB=Q02156,HUMAN|HGNC=11240|UniProtKB=Q9NYA1,HUMAN|HGNC=18859|UniProtKB=Q9NRA0,HUMAN|HGNC=5173|UniProtKB=P01112,HUMAN|HGNC=7876|UniProtKB=P29474,HUMAN|HGNC=8979|UniProtKB=P27986,HUMAN|HGNC=6840|UniProtKB=Q02750,HUMAN|HGNC=6877|UniProtKB=P27361,HUMAN|HGNC=9718|UniProtKB=P49023,HUMAN|HGNC=9407|UniProtKB=Q15139,HUMAN|HGNC=9065|UniProtKB=P19174,HUMAN|HGNC=8978|UniProtKB=P48736,HUMAN|HGNC=9408|UniProtKB=O94806,HUMAN|HGNC=646|UniProtKB=P10398,HUMAN|HGNC=6842|UniProtKB=P36507,HUMAN|HGNC=9803|UniProtKB=P60763,HUMAN|HGNC=4910|UniProtKB=Q16665,HUMAN|HGNC=9066|UniProtKB=P16885,HUMAN|HGNC=12680|UniProtKB=P15692,HUMAN|HGNC=9035|UniProtKB=P47712,HUMAN|HGNC=1097|UniProtKB=P15056,HUMAN|HGNC=3488|UniProtKB=P14921,HUMAN|HGNC=8975|UniProtKB=P42336,HUMAN|HGNC=6871|UniProtKB=P28482,HUMAN|HGNC=8977|UniProtKB=O00329	VEGF signaling pathway	25	87	434
P02771	HUMAN|HGNC=23|UniProtKB=P80404,HUMAN|HGNC=8021|UniProtKB=P21589,HUMAN|HGNC=3015|UniProtKB=Q14195,HUMAN|HGNC=1712|UniProtKB=P32320,HUMAN|HGNC=20637|UniProtKB=Q9BPU6,HUMAN|HGNC=3012|UniProtKB=Q12882,HUMAN|HGNC=21397|UniProtKB=Q8N228,HUMAN|HGNC=7179|UniProtKB=Q02252,HUMAN|HGNC=3014|UniProtKB=Q16555	Pyrimidine Metabolism	8	18	88
P00049	HUMAN|HGNC=9973|UniProtKB=P40937,HUMAN|HGNC=8607|UniProtKB=O60260,HUMAN|HGNC=6880|UniProtKB=Q13164,HUMAN|HGNC=12849|UniProtKB=P31946,HUMAN|HGNC=5239|UniProtKB=P17066,HUMAN|HGNC=2451|UniProtKB=P48729,HUMAN|HGNC=12841|UniProtKB=P07947,HUMAN|HGNC=6872|UniProtKB=P53779,HUMAN|HGNC=11283|UniProtKB=P12931,HUMAN|HGNC=6735|UniProtKB=P07948,HUMAN|HGNC=6876|UniProtKB=Q16539,HUMAN|HGNC=2444|UniProtKB=P41240,HUMAN|HGNC=12852|UniProtKB=P61981,HUMAN|HGNC=3321|UniProtKB=P19419,HUMAN|HGNC=9536|UniProtKB=O14818,HUMAN|HGNC=3098|UniProtKB=O14656,HUMAN|HGNC=9544|UniProtKB=Q99436,HUMAN|HGNC=4037|UniProtKB=P06241,HUMAN|HGNC=5232|UniProtKB=P08107,HUMAN|HGNC=18290|UniProtKB=Q8NFW8,HUMAN|HGNC=9530|UniProtKB=P25786,HUMAN|HGNC=2455|UniProtKB=P78368,HUMAN|HGNC=2551|UniProtKB=Q13616,HUMAN|HGNC=29526|UniProtKB=Q0VDF9,HUMAN|HGNC=2456|UniProtKB=Q9Y6M4,HUMAN|HGNC=1589|UniProtKB=P24864,HUMAN|HGNC=16712|UniProtKB=Q969H0,HUMAN|HGNC=12488|UniProtKB=P68036,HUMAN|HGNC=19268|UniProtKB=Q8N2K1,HUMAN|HGNC=1497|UniProtKB=O14936,HUMAN|HGNC=9971|UniProtKB=P40938,HUMAN|HGNC=5235|UniProtKB=P54652,HUMAN|HGNC=5244|UniProtKB=P38646,HUMAN|HGNC=10773|UniProtKB=P31947,HUMAN|HGNC=22880|UniProtKB=Q96JG8,HUMAN|HGNC=9531|UniProtKB=P25787,HUMAN|HGNC=5241|UniProtKB=P11142,HUMAN|HGNC=1590|UniProtKB=O96020,HUMAN|HGNC=11442|UniProtKB=O15400,HUMAN|HGNC=24567|UniProtKB=Q9BWH6,HUMAN|HGNC=6881|UniProtKB=P45983,HUMAN|HGNC=2452|UniProtKB=P48730,HUMAN|HGNC=2454|UniProtKB=Q9HCP0,HUMAN|HGNC=11430|UniProtKB=Q86Y82,HUMAN|HGNC=12851|UniProtKB=P62258,HUMAN|HGNC=9533|UniProtKB=P25789,HUMAN|HGNC=21698|UniProtKB=Q9NWF9,HUMAN|HGNC=6886|UniProtKB=P45984,HUMAN|HGNC=6877|UniProtKB=P27361,HUMAN|HGNC=12513|UniProtKB=P09936,HUMAN|HGNC=2457|UniProtKB=P68400,HUMAN|HGNC=11782|UniProtKB=P07101,HUMAN|HGNC=4494|UniProtKB=O15354,HUMAN|HGNC=21335|UniProtKB=Q9Y5W8,HUMAN|HGNC=11140|UniProtKB=Q16143,HUMAN|HGNC=11141|UniProtKB=O76070,HUMAN|HGNC=5238|UniProtKB=P11021,HUMAN|HGNC=2459|UniProtKB=P19784,HUMAN|HGNC=11138|UniProtKB=P37840,HUMAN|HGNC=12902|UniProtKB=P17014,HUMAN|HGNC=9534|UniProtKB=P28066,HUMAN|HGNC=12853|UniProtKB=Q04917,HUMAN|HGNC=12854|UniProtKB=P27348,HUMAN|HGNC=6524|UniProtKB=P06239,HUMAN|HGNC=9541|UniProtKB=P28070,HUMAN|HGNC=290|UniProtKB=P35626,HUMAN|HGNC=11427|UniProtKB=Q9UNE7,HUMAN|HGNC=3955|UniProtKB=P42685,HUMAN|HGNC=9535|UniProtKB=P60900,HUMAN|HGNC=9558|UniProtKB=Q9UNM6,HUMAN|HGNC=12483|UniProtKB=P60604,HUMAN|HGNC=2453|UniProtKB=P49674,HUMAN|HGNC=9164|UniProtKB=Q99719,HUMAN|HGNC=29013|UniProtKB=Q2KHT3,HUMAN|HGNC=11996|UniProtKB=Q5JU69,HUMAN|HGNC=5234|UniProtKB=P34931,HUMAN|HGNC=12855|UniProtKB=P63104,HUMAN|HGNC=6871|UniProtKB=P28482,HUMAN|HGNC=289|UniProtKB=P25098,HUMAN|HGNC=9532|UniProtKB=P25788,HUMAN|HGNC=9537|UniProtKB=P20618,HUMAN|HGNC=5383|UniProtKB=P48735	Parkinson disease	37	223	1147
P02772	HUMAN|HGNC=986|UniProtKB=P12694,HUMAN|HGNC=6971|UniProtKB=P40926,HUMAN|HGNC=2422|UniProtKB=O75390,HUMAN|HGNC=8636|UniProtKB=P11498,HUMAN|HGNC=9021|UniProtKB=P14618,HUMAN|HGNC=8806|UniProtKB=P08559,HUMAN|HGNC=8807|UniProtKB=P29803,HUMAN|HGNC=8724|UniProtKB=P35558	Pyruvate metabolism	10	36	106
P00028	HUMAN|HGNC=4402|UniProtKB=P50151,HUMAN|HGNC=4407|UniProtKB=P50150,HUMAN|HGNC=4405|UniProtKB=P63215,HUMAN|HGNC=2150|UniProtKB=Q16281,HUMAN|HGNC=8789|UniProtKB=P18545,HUMAN|HGNC=9380|UniProtKB=P17612,HUMAN|HGNC=8786|UniProtKB=P35913,HUMAN|HGNC=4401|UniProtKB=O14775,HUMAN|HGNC=19664|UniProtKB=Q9UK08,HUMAN|HGNC=1449|UniProtKB=P62158,HUMAN|HGNC=9441|UniProtKB=P51817,HUMAN|HGNC=10013|UniProtKB=Q15835,HUMAN|HGNC=4393|UniProtKB=P11488,HUMAN|HGNC=9381|UniProtKB=P22694,HUMAN|HGNC=2151|UniProtKB=Q14028,HUMAN|HGNC=4412|UniProtKB=O14610,HUMAN|HGNC=4398|UniProtKB=P62879,HUMAN|HGNC=4410|UniProtKB=O60262,HUMAN|HGNC=4404|UniProtKB=P59768,HUMAN|HGNC=10521|UniProtKB=P10523,HUMAN|HGNC=4411|UniProtKB=P63211,HUMAN|HGNC=4408|UniProtKB=P63218,HUMAN|HGNC=1452|UniProtKB=P27482,HUMAN|HGNC=8785|UniProtKB=P16499,HUMAN|HGNC=9937|UniProtKB=P35243,HUMAN|HGNC=19663|UniProtKB=Q9UBI6	Heterotrimeric G-protein signaling pathway-rod outer segment phototransduction	15	68	309
